month,kind,id,thousand_m3_month
2025-10,demand,dist_entes_oficiales,30932
2025-10,demand,dist_gnc,168917
2025-10,demand,dist_industria,736897
2025-10,demand,dist_residencial,657823
2025-10,demand,dist_subdistribuidor,42988
2025-10,demand,trans_centrales,410528
2025-10,demand,trans_industria,129640
2025-10,demand,trans_rtp,167177
2025-10,demand,trans_subdistribuidor,13210
2025-10,export,brasil_ypf_uruguayana,0
2025-10,export,chile_egs,57972
2025-10,export,chile_gasandes,135697
2025-10,export,chile_methanex_ypf,6752
2025-10,export,chile_norandino,8380
2025-10,export,uruguay_gas_link,247
2025-10,export,uruguay_petrouruguay,19
2025-10,supply,dist_otros,0
2025-10,supply,dist_propios,48326
2025-10,supply,tgn_neuquina,903608
2025-10,supply,tgn_noroeste,76320
2025-10,supply,tgn_otros,3
2025-10,supply,tgs_austral,684801
2025-10,supply,tgs_neuquina,1.51594e+06
2025-10,supply,tgs_otros,0
2025-10,supply,tgs_san_jorge,73883
2025-11,demand,dist_centrales,367557
2025-11,demand,dist_comercial,67152
2025-11,demand,dist_entes_oficiales,19591
2025-11,demand,dist_gnc,160489
2025-11,demand,dist_industria,676053
2025-11,demand,dist_residencial,457014
2025-11,demand,dist_subdistribuidor,30421
2025-11,demand,trans_centrales,466403
2025-11,demand,trans_industria,89615
2025-11,demand,trans_rtp,156943
2025-11,demand,trans_subdistribuidor,9433
2025-11,export,brasil_ypf_uruguayana,0
2025-11,export,chile_egs,59981
2025-11,export,chile_gasandes,142814
2025-11,export,chile_methanex_ypf,12703
2025-11,export,chile_norandino,15970
2025-11,export,uruguay_gas_link,0
2025-11,export,uruguay_petrouruguay,202
2025-11,supply,dist_otros,0
2025-11,supply,dist_propios,39055
2025-11,supply,tgn_neuquina,816983
2025-11,supply,tgn_noroeste,71653
2025-11,supply,tgn_otros,7
2025-11,supply,tgs_austral,675421
2025-11,supply,tgs_neuquina,1.56863e+06
2025-11,supply,tgs_otros,0
2025-11,supply,tgs_san_jorge,74563
2025-12,demand,dist_centrales,558875
2025-12,demand,dist_comercial,60206
2025-12,demand,dist_entes_oficiales,12431
2025-12,demand,dist_gnc,167719
2025-12,demand,dist_industria,639856
2025-12,demand,dist_residencial,348300
2025-12,demand,dist_subdistribuidor,23732
2025-12,demand,trans_centrales,660823
2025-12,demand,trans_industria,157768
2025-12,demand,trans_rtp,154483
2025-12,demand,trans_subdistribuidor,7571
2025-12,export,brasil_ypf_uruguayana,0
2025-12,export,chile_egs,28237
2025-12,export,chile_gasandes,142009
2025-12,export,chile_methanex_ypf,3353
2025-12,export,chile_norandino,7177
2025-12,export,uruguay_gas_link,9217
2025-12,export,uruguay_petrouruguay,258
2025-12,supply,dist_otros,0
2025-12,supply,dist_propios,39677
2025-12,supply,tgn_neuquina,874245
2025-12,supply,tgn_noroeste,76987
2025-12,supply,tgn_otros,4391
2025-12,supply,tgs_austral,703361
2025-12,supply,tgs_neuquina,1.78177e+06
2025-12,supply,tgs_otros,0
2025-12,supply,tgs_san_jorge,71920
2026-01,demand,dist_centrales,566221
2026-01,demand,dist_comercial,55578
2026-01,demand,dist_entes_oficiales,9835
2026-01,demand,dist_gnc,157103
2026-01,demand,dist_industria,651092
2026-01,demand,dist_residencial,286303
2026-01,demand,dist_subdistribuidor,26208
2026-01,demand,trans_centrales,718367
2026-01,demand,trans_industria,201983
2026-01,demand,trans_rtp,164270
2026-01,demand,trans_subdistribuidor,5556
2026-01,export,brasil_ypf_uruguayana,0
2026-01,export,chile_egs,42893
2026-01,export,chile_gasandes,165144
2026-01,export,chile_methanex_ypf,2
2026-01,export,chile_norandino,6573
2026-01,export,uruguay_gas_link,8948
2026-01,export,uruguay_petrouruguay,29
2026-01,supply,dist_otros,0
2026-01,supply,dist_propios,38329
2026-01,supply,tgn_neuquina,960924
2026-01,supply,tgn_noroeste,80422
2026-01,supply,tgn_otros,17940
2026-01,supply,tgs_austral,678157
2026-01,supply,tgs_neuquina,1.71497e+06
2026-01,supply,tgs_otros,0
2026-01,supply,tgs_san_jorge,73863
2026-02,demand,dist_centrales,513661
2026-02,demand,dist_comercial,52977
2026-02,demand,dist_entes_oficiales,9988
2026-02,demand,dist_gnc,146662
2026-02,demand,dist_industria,634560
2026-02,demand,dist_residencial,282894
2026-02,demand,dist_subdistribuidor,27597
2026-02,demand,trans_centrales,670247
2026-02,demand,trans_industria,153533
2026-02,demand,trans_rtp,150485
2026-02,demand,trans_subdistribuidor,5928
2026-02,export,brasil_ypf_uruguayana,0
2026-02,export,chile_egs,54901
2026-02,export,chile_gasandes,190051
2026-02,export,chile_methanex_ypf,0
2026-02,export,chile_norandino,11691
2026-02,export,uruguay_gas_link,14803
2026-02,export,uruguay_petrouruguay,34
2026-02,supply,dist_otros,0
2026-02,supply,dist_propios,33477
2026-02,supply,tgn_neuquina,924329
2026-02,supply,tgn_noroeste,71411
2026-02,supply,tgn_otros,15936
2026-02,supply,tgs_austral,665182
2026-02,supply,tgs_neuquina,1.67791e+06
2026-02,supply,tgs_otros,0
2026-02,supply,tgs_san_jorge,58395
